DOI,solvent_name,solvent,zn_source,zn_source_mmol,hmim_mmol,stirring,temperature_C,time_min,size_nm,additive,ratio,counterion,zn_source_mM,hmim_mM
10.1016/j.memsci.2020.118943,"N,N-dimethylformamide",5166.233410863319,Zn(NO3)2·6H2O,39.49978149057047,315.7125456760049,No,140,240.0,150.0,not given,0.1251131196132652,NO3-,0.007645760140746282,0.06111077850492374
10.1039/c7cy01979c,Methanol,4993.757802746567,Zn(NO3)2·6H2O,10.0,40.0,Yes,25,1440.0,300.0,not given,0.25,NO3-,0.0020025,0.00801
10.1016/j.micromeso.2023.112956,Methanol,2496.878901373283,Zn(NO3)2·6H2O,4.0,8.0,Yes,25,1440.0,188.0,not given,0.5,NO3-,0.001602,0.003204
10.1016/j.est.2023.109646,Methanol,998.7515605493134,Zn(NO3)2·6H2O,2.995260026221131,11.98538367844093,Yes,25,1440.0,400.0,not given,0.2499093985292224,NO3-,0.002999004101253908,0.01200036540803898
10.1039/d2nj03584g,Methanol,499.3757802746567,Zn(NO3)2·6H2O,3.93989309846371,31.57125456760049,Yes,25,180.0,300.0,not given,0.1247936818610611,NO3-,0.00788963592967358,0.06322143727161998
10.1021/acsestwater.3c00608,Water,2777.777777777777,Zn(CH3COO)2·2H2O,16.90128012391235,100.0,Yes,40,180.0,50.0,not given,0.1690128012391235,CH3COO-,0.006084460844608447,0.036
10.1039/c7nj04909a,Methanol,2496.878901373283,Zn(NO3)2·6H2O,2.4708373953676,19.82947624847746,Yes,25,60.0,50.0,not given,0.1246042691398525,NO3-,0.0009895703768447238,0.007941705237515223
10.1021/acsomega.9b03215,Water,2777.777777777777,Zn(NO3)2·6H2O,0.6161965912528994,39.46406820950062,Yes,25,60.0,40.0,Triethylamine,0.0156141173277355,NO3-,0.0002218307728510438,0.01420706455542022
10.1016/j.jpowsour.2023.232702,Methanol,9987.515605493134,Zn(NO3)2·6H2O,20.00201701011867,80.0,Yes,25,960.0,100.0,not given,0.2500252126264833,NO3-,0.002002701953138131,0.00801
10.1039/d2ta06567c,Methanol,1123.595505617978,Zn(NO3)2·6H2O,4.000403402023734,16.00487210718636,Yes,120,240.0,200.0,not given,0.2499491014506457,NO3-,0.003560359027801123,0.01424433617539586
