DOI,solvent_name,solvent,zn_source,zn_source_mmol,hmim_mmol,stirring,temperature_C,time_min,size_nm,additive,ratio,counterion,zn_source_mM,hmim_mM,Verify
10.1016/j.seppur.2026.137155,Water,4444.444444444444,Zn(NO3)2·6H2O,1.983393283356305,15.83434835566383,Yes,22,240.0,230.0,not given,0.1252589142796558,NO3-,0.0004462634887551,0.0035627283800243,True
10.1039/d0dt02576c,Methanol,1248.439450686642,Zn(NO3)2·6H2O,2.469156553602044,9.87454323995128,Yes,25,120.0,19.3,n-butylamine,0.2500527359698135,NO3-,0.0019777943994352,0.0079095091352009,True
10.1021/acsami.3c11941,Water,3333.333333333333,Zn(CH3COO)2·2H2O,2.505580611361669,49.93909866017052,No,140,10.0,243.9,Cetyltrimethylammonium bromide,0.0501727239494617,CH3COO-,0.0007516741834085,0.0149817295980511,True
10.1039/d0nj01373k,Methanol,9987.515605493134,Zn(NO3)2·6H2O,4.92822805661075,40.49939098660171,Yes,25,900.0,80.0,not given,0.1216864732173661,NO3-,0.0004934388341681,0.0040550015225334,True
10.1016/j.optmat.2024.116126,Methanol,499.3757802746567,Zn(NO3)2·6H2O,0.5008908461357447,5.006090133982948,Yes,50,120.0,50.0,not given,0.1000562979750478,NO3-,0.0010030339193868,0.0100246954933008,True
10.1021/acs.molpharmaceut.4c01144,Water,55.55555555555555,Zn(NO3)2·6H2O,0.045,3.15,Yes,30,10.0,200.0,not given,0.0142857142857142,NO3-,0.00081,0.0567,True
10.1021/acs.molpharmaceut.4c01144,Water,55.55555555555555,Zn(NO3)2·6H2O,0.045,3.15,Yes,30,10.0,200.0,not given,0.0142857142857142,NO3-,0.00081,0.0567,True
10.1016/j.jpowsour.2016.11.114,Methanol,2496.878901373283,Zn(NO3)2·6H2O,5.37869364977981,40.19488428745432,Yes,25,60.0,100.0,not given,0.1338153783778552,NO3-,0.0021541668067368,0.0160980511571254,True
10.1016/j.mtnano.2018.09.001,Methanol,499.3757802746567,Zn(NO3)2·6H2O,0.4975291626046323,3.995127892813642,Yes,0,60.0,200.0,ICG,0.1245339763714643,NO3-,0.0009963021481157,0.0080002436053593,True
10.1016/j.mtnano.2018.09.001,Methanol,499.3757802746567,Zn(NO3)2·6H2O,0.4975291626046323,3.995127892813642,Yes,25,60.0,200.0,ICG,0.1245339763714643,NO3-,0.0009963021481157,0.0080002436053593,True
10.1016/j.mtnano.2018.09.001,Methanol,499.3757802746567,Zn(NO3)2·6H2O,0.4975291626046323,3.995127892813642,Yes,50,60.0,200.0,ICG,0.1245339763714643,NO3-,0.0009963021481157,0.0080002436053593,True
10.1016/j.molstruc.2025.144516,Methanol,2496.878901373283,Zn(NO3)2·6H2O,10.08505059333714,80.38976857490864,Yes,25,1440.0,89.0,not given,0.1254519172292393,NO3-,0.0040390627626315,0.0321961023142509,True
10.1021/acsami.9b23314,Methanol,499.3757802746567,Zn(NO3)2·6H2O,0.5378693649779809,4.993909866017053,Yes,50,180.0,48.0,not given,0.1077050606455908,NO3-,0.0010770834033684,0.0100003045066991,True
10.1016/j.apt.2024.104727,Methanol,2496.878901373283,Zn(NO3)2·6H2O,7.530171109691733,63.45919610231425,Yes,25,1440.0,77.0,not given,0.1186616215174071,NO3-,0.0030158335294315,0.0254154080389768,True
10.1016/j.apsusc.2024.159624,Methanol,749.0636704119851,Zn(NO3)2·6H2O,3.449087302921303,14.05602923264312,Yes,120,240.0,200.0,not given,0.2453813410483873,NO3-,0.0046045315493999,0.0187647990255785,True
10.1016/j.jpowsour.2025.238313,Methanol,1248.439450686642,Zn(NO3)2·6H2O,4.998823410764111,19.97563946406821,Yes,120,1440.0,204.23,not given,0.2502459768437399,NO3-,0.004004057552022,0.0160004872107186,True
10.1016/j.jpowsour.2025.238313,Methanol,1248.439450686642,Zn(NO3)2·6H2O,4.998823410764111,29.96345919610232,Yes,120,1440.0,153.3,not given,0.1668306512291599,NO3-,0.004004057552022,0.0240007308160779,True
10.1016/j.jpowsour.2025.238313,Methanol,1248.439450686642,Zn(NO3)2·6H2O,4.998823410764111,39.95127892813642,Yes,120,1440.0,115.04,not given,0.1251229884218699,NO3-,0.004004057552022,0.0320009744214372,True
10.1016/j.jpowsour.2025.238313,Methanol,1248.439450686642,Zn(NO3)2·6H2O,4.998823410764111,49.93909866017052,Yes,120,1440.0,102.36,not given,0.1000983907374959,NO3-,0.004004057552022,0.0400012180267965,True
10.1016/j.jpowsour.2025.238313,Methanol,1248.439450686642,Zn(NO3)2·6H2O,4.998823410764111,60.04872107186358,Yes,120,1440.0,99.52,not given,0.0832461261711426,NO3-,0.004004057552022,0.0480990255785627,True
10.1016/j.jtice.2023.104865,Methanol,7990.012484394507,Zn(NO3)2·6H2O,7.886509563989645,63.21559074299636,Yes,25,60.0,50.0,not given,0.1247557678619556,NO3-,0.000987045962618,0.0079118262789281,True
10.1016/j.seppur.2022.120856,Methanol,1997.503121098627,Zn(NO3)2·6H2O,2.4,9.6,Yes,25,1440.0,80.0,not given,0.25,NO3-,0.0012015,0.004806,True
10.1016/j.memsci.2022.121300,Methanol,1248.439450686642,Zn(NO3)2·6H2O,2.468820385248932,9.87332521315469,Yes,25,1440.0,70.0,not given,0.2500495356883017,NO3-,0.0019775251285843,0.0079085334957369,True
10.1039/c7ta10322k,Methanol,1248.439450686642,Zn(NO3)2·6H2O,2.474199078898712,19.78075517661389,Yes,25,60.0,50.0,not given,0.1250811233852119,NO3-,0.0019818334621978,0.0158443848964677,True
10.1039/c7ta10322k,Methanol,1248.439450686642,Zn(NO3)2·6H2O,2.474199078898712,19.78075517661389,Yes,25,60.0,40.0,PEI,0.1250811233852119,NO3-,0.0019818334621978,0.0158443848964677,True
10.1021/acsami.2c23107,Methanol,374.5318352059925,Zn(NO3)2·6H2O,0.49416747907352,3.958587088915957,Yes,37,30.0,200.0,"1,8-Diazafluoren-9-one",0.1248343077905722,NO3-,0.0013194271691262,0.0105694275274056,True
10.1021/acsami.2c23107,Methanol,374.5318352059925,Zn(NO3)2·6H2O,0.49416747907352,3.958587088915957,Yes,37,30.0,200.0,"1,8-Diazafluoren-9-one",0.1248343077905722,NO3-,0.0013194271691262,0.0105694275274056,True
10.1021/acsami.2c23107,Methanol,374.5318352059925,Zn(NO3)2·6H2O,0.49416747907352,3.958587088915957,Yes,37,30.0,200.0,"1,8-Diazafluoren-9-one",0.1248343077905722,NO3-,0.0013194271691262,0.0105694275274056,True
10.1021/acsami.2c23107,Methanol,374.5318352059925,Zn(NO3)2·6H2O,0.49416747907352,3.958587088915957,Yes,37,30.0,200.0,"1,8-Diazafluoren-9-one",0.1248343077905722,NO3-,0.0013194271691262,0.0105694275274056,True
10.1021/acsami.1c23297,Methanol,2496.878901373283,Zn(NO3)2·6H2O,2.464786365011597,19.7320341047503,Yes,25,50.0,20.0,not given,0.124912938621884,NO3-,0.0009871469391871,0.0079026796589524,True
10.1021/acsami.1c23297,Methanol,2496.878901373283,Zn(NO3)2·6H2O,4.9416747907352,39.46406820950061,Yes,25,30.0,40.0,not given,0.1252195988639999,NO3-,0.0019791407536894,0.0158053593179049,True
10.1021/acsami.1c23297,Methanol,1248.439450686642,Zn(NO3)2·6H2O,2.468820385248932,9.87332521315469,Yes,25,2.0,70.0,not given,0.2500495356883017,NO3-,0.0019775251285843,0.0079085334957369,True
10.1021/acsanm.4c02087,Methanol,2496.878901373283,Zn(NO3)2·6H2O,11.2952566645376,48.721071863581,Yes,60,540.0,145.0,not given,0.2318351430396341,NO3-,0.0045237502941473,0.0195127892813641,True
10.1016/j.solidstatesciences.2024.107755,Methanol,749.0636704119851,Zn(NO3)2·6H2O,1.0,8.0,Yes,25,120.0,100.0,not given,0.125,NO3-,0.001335,0.01068,True
