generation,individual_idx,fitness,size,temperature_C,time_min,hmim_mM,zn_source_mM,ratio,stirring,counterion,solvent_name
1,0,-20.622909523809497,120.6229095238095,24.558616606835397,32.32760970678649,0.1002680992110971,0.011284191710446553,0.11254019772220518,Yes dropwise,NO3-,Water
1,1,-32.716116666666665,132.71611666666666,25.73850871748261,13.191753468604116,0.10352057619423098,0.01439237997475031,0.13902917182132504,Yes,NO3-,Water
1,2,-53.98621746031748,153.98621746031748,24.470738288053596,32.29837379801083,0.03557150721168954,0.001995273700627301,0.056091907738213924,Yes,NO3-,Water
1,3,-60.65093333333334,160.65093333333334,28.844640930984376,34.21765615621185,0.09271715884508956,0.0038118077497460855,0.041112214796344186,Initial,ClO4-,Water
1,4,-53.89748888888889,153.8974888888889,24.123506965774816,34.21765615621185,0.08484989637740606,0.004261086562018868,0.0502191133276801,Yes,ClO4-,Water
1,5,-83.47700555555562,183.47700555555562,25.452331629069004,13.191753468604116,0.10352057619423098,0.01439237997475031,0.13902917182132504,Initial,SO42-,Water
1,6,-57.33707476190472,157.33707476190472,24.935967122017217,10.510173916373187,0.09646439127157543,0.010716139448943462,0.11108906932066155,Initial,NO3-,Ethanol
1,7,-73.5914444444445,173.5914444444445,24.935967122017217,10.510173916373187,0.09646439127157543,0.01713666738640931,0.17764759783912995,Yes,SO42-,Water
1,8,-76.57488888888892,176.57488888888892,29.17862055525356,25.205751297516507,0.09311011411890556,0.01579475024537113,0.16963517223489347,Yes dropwise,CH3COO-,Water
1,9,-63.38159999999999,163.3816,26.095257447675966,32.32760970678649,0.1002680992110971,0.011284191710446553,0.11254019772220518,Yes dropwise,CH3COO-,Water
1,10,-32.33611666666667,132.33611666666667,25.73850871748261,19.632776554771016,0.10352057619423098,0.01439237997475031,0.13902917182132504,Yes dropwise,NO3-,Water
1,11,-28.64933174603175,128.64933174603175,25.73850871748261,13.191753468604116,0.10352057619423098,0.0038118077497460855,0.036821740081838056,Yes,NO3-,Water
1,12,-61.502615873015856,161.50261587301586,24.123506965774816,34.21765615621185,0.09271715884508956,0.002819034228713807,0.030404665801114623,Initial,ClO4-,Water
1,13,-11.529198412698406,111.5291984126984,25.50145738898757,32.29837379801083,0.03557150721168954,0.0038118077497460855,0.10715901710494419,Yes,NO3-,Water
1,14,-20.622909523809497,120.6229095238095,25.452331629069004,26.475524232552843,0.08484989637740606,0.009794646222933837,0.11543498155104369,Yes,NO3-,Water
1,15,-43.082984126984144,143.08298412698414,25.452331629069004,27.579493990201623,0.08484989637740606,0.01439237997475031,0.1696216564689021,Initial,NO3-,Water
1,16,-75.8501555555556,175.8501555555556,25.73850871748261,13.191753468604116,0.09646439127157543,0.010716139448943462,0.11108906932066155,Initial,ClO4-,Water
